epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4968,6.76745,13.0497,8.34628,0,0,0,0,6.92358,10.7611,8.21666,0.0828182,0.00190909,0.00190909
2,34.7032,6.6686,12.3009,8.07828,0,0,0,0,6.82137,10.5674,7.97747,0.0648182,0.00390908,0.00390908
3,45.9111,6.60303,12.0058,7.81748,0,0,0,0,6.75006,10.3897,7.8332,0.0468181,0.005909,0.005909
4,57.2142,6.38155,11.6358,7.53622,0,0,0,0,6.61955,10.1843,7.67975,0.0288179,0.00790882,0.00790882
5,68.4361,6.15344,11.531,7.23798,0.05699,0.00033,0.00014,3e-05,6.44686,10.5488,7.61117,0.0108176,0.00990849,0.00990849
6,79.5021,6.10704,11.3399,6.98727,6e-05,0.01283,0.00014,4e-05,6.41958,15.4596,7.5121,0.00999905,0.00999905,0.00999905
7,90.7058,5.83291,11.3056,6.79717,0.00014,0.00826,0.00013,2e-05,6.60787,inf,7.9865,0.00999863,0.00999863,0.00999863
8,101.68,5.6259,10.8751,6.60896,0.04237,0.00062,3e-05,1e-05,6.44433,292.216,7.69396,0.00999813,0.00999813,0.00999813
9,112.668,5.61729,11.0264,6.45359,0.05649,0.0005,3e-05,1e-05,6.33343,39.1322,7.08106,0.00999756,0.00999756,0.00999756
10,123.519,5.45188,10.9987,6.27177,3e-05,0.00362,3e-05,1e-05,6.11819,10.474,6.65807,0.00999691,0.00999691,0.00999691
11,134.583,5.52403,10.6969,6.07244,3e-05,0.00283,3e-05,1e-05,6.22738,9.9005,6.61802,0.00999618,0.00999618,0.00999618
12,145.462,5.49251,10.9348,5.98358,0.02827,0.00011,2e-05,1e-05,6.29028,10.5026,6.64877,0.00999538,0.00999538,0.00999538
13,156.404,5.55877,10.8268,5.82268,3e-05,0.00427,4e-05,1e-05,6.20985,10.1656,6.50543,0.0099945,0.0099945,0.0099945
14,167.268,5.55805,10.659,5.74897,2e-05,0.00305,2e-05,1e-05,6.18095,13.1593,6.32814,0.00999355,0.00999355,0.00999355
15,178.102,5.33416,10.6658,5.67234,0,0,0,0,6.29697,21.2646,6.44993,0.00999252,0.00999252,0.00999252
16,189.042,5.52329,10.5835,5.64025,1e-05,0.00122,1e-05,0,6.1845,10.7196,6.42429,0.00999141,0.00999141,0.00999141
17,199.85,5.53963,10.6177,5.59787,0.02821,0.00155,4e-05,1e-05,6.17083,9.69326,6.1722,0.00999023,0.00999023,0.00999023
18,210.731,5.46631,10.6492,5.57697,0.0001,0.01194,0.00037,0.00015,6.20262,9.70577,6.20179,0.00998897,0.00998897,0.00998897
19,221.64,5.50234,10.3926,5.53598,0.05647,0.00055,0.00025,0.00011,6.14839,9.53406,6.02788,0.00998764,0.00998764,0.00998764
20,232.56,5.63334,10.3156,5.42599,0.00013,0.01981,0.00112,0.00023,6.15887,9.45482,6.00732,0.00998623,0.00998623,0.00998623
21,243.424,5.48564,10.5178,5.42504,0.00024,0.02089,0.0024,0.00116,6.13167,9.40985,5.95043,0.00998474,0.00998474,0.00998474
22,254.309,5.58535,10.4474,5.46712,0.00016,0.01908,0.00091,0.00028,6.08455,9.40398,5.89854,0.00998318,0.00998318,0.00998318
23,265.123,5.48403,10.4119,5.37191,0.00023,0.01859,0.00064,0.00029,6.06197,9.34416,5.88443,0.00998154,0.00998154,0.00998154
24,276.118,5.45611,10.6664,5.37575,0.00056,0.01767,0.00391,0.00226,6.12456,9.38835,5.9169,0.00997982,0.00997982,0.00997982
25,287.091,5.41098,10.3679,5.33534,0.00091,0.01719,0.00361,0.00182,6.12721,9.37885,5.88375,0.00997803,0.00997803,0.00997803
26,298.089,5.52009,10.4119,5.35911,0.00089,0.01189,0.00559,0.00384,6.15244,9.42733,5.87959,0.00997616,0.00997616,0.00997616
27,309.086,5.40305,10.209,5.3727,9e-05,0.00447,7e-05,2e-05,6.12583,9.45972,5.91057,0.00997422,0.00997422,0.00997422
28,319.825,5.52485,10.2105,5.34711,0.00012,0.01565,0.00015,6e-05,6.11732,9.52855,5.95036,0.0099722,0.0099722,0.0099722
29,330.705,5.61541,10.3799,5.3372,0.00116,0.02117,0.00684,0.00207,6.12944,9.3238,5.94498,0.00997011,0.00997011,0.00997011
30,341.426,5.54292,10.223,5.29265,0.00049,0.02124,0.00724,0.00212,6.14579,9.23438,5.93387,0.00996794,0.00996794,0.00996794
31,352.447,5.43575,10.1678,5.27954,0.00038,0.00647,0.00102,0.0007,6.13576,9.24343,5.87408,0.00996569,0.00996569,0.00996569
32,363.067,5.53592,10.325,5.29525,0.00344,0.0193,0.00815,0.00479,6.13198,9.22026,5.89417,0.00996337,0.00996337,0.00996337
33,374.041,5.28445,10.1492,5.25226,0.00229,0.02123,0.00771,0.00389,6.12383,9.23005,5.87254,0.00996097,0.00996097,0.00996097
34,384.958,5.57644,10.3599,5.22336,0.00026,0.0259,0.00874,0.00464,6.20217,9.27441,5.88314,0.00995849,0.00995849,0.00995849
35,396.005,5.55227,10.3045,5.27073,0.00097,0.03708,0.00967,0.00631,6.19142,9.58487,5.85841,0.00995594,0.00995594,0.00995594
