epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6214,6.8165,12.9941,8.41143,0,0,0,0,6.96533,10.851,8.3388,2.27182e-05,2.27182e-05,2.27182e-05
2,37.4349,6.86528,12.7758,8.39496,0,0,0,0,6.95886,10.8424,8.33832,4.6518e-05,4.6518e-05,4.6518e-05
3,50.3934,6.89486,12.8135,8.35159,0,0,0,0,6.95844,10.8114,8.34638,7.03171e-05,7.03171e-05,7.03171e-05
4,62.3693,7.01645,12.5829,8.28512,0,0,0,0,6.94589,10.8171,8.3471,9.41149e-05,9.41149e-05,9.41149e-05
5,74.0889,6.89372,12.7544,8.20975,0,0,0,0,6.91023,11.1911,8.3553,0.000117911,0.000117911,0.000117911
6,85.7652,7.04994,12.5598,8.14986,0,0,0,0,6.877,15.4626,8.32395,0.000118989,0.000118989,0.000118989
7,97.9656,6.63411,12.478,8.0742,0,0,0,0,6.8947,18.3994,8.26936,0.000118984,0.000118984,0.000118984
8,110.038,6.46599,12.188,8.01448,0,0,0,0,6.83027,11.3174,8.26715,0.000118978,0.000118978,0.000118978
