epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8614,6.76271,13.2793,8.4082,0,0,0,0,6.96724,10.8607,8.3302,2.27182e-05,2.27182e-05,2.27182e-05
2,32.7853,6.85578,12.7704,8.36705,0,0,0,0,6.95167,10.8636,8.30731,4.6518e-05,4.6518e-05,4.6518e-05
3,43.7536,6.86331,12.7852,8.31334,0,0,0,0,6.944,10.8388,8.31947,7.03171e-05,7.03171e-05,7.03171e-05
4,54.5452,6.94645,12.5682,8.29651,0,0,0,0,6.96056,10.8415,8.32761,9.41149e-05,9.41149e-05,9.41149e-05
5,65.5801,6.79156,12.7499,8.195,0,0,0,0,6.94613,11.2238,8.3122,0.000117911,0.000117911,0.000117911
6,76.3455,6.9513,12.5587,8.15203,0,0,0,0,6.86832,12.3698,8.30074,0.000118989,0.000118989,0.000118989
7,87.1015,6.60406,12.5589,8.11922,0,0,0,0,6.85252,11.8643,8.22904,0.000118984,0.000118984,0.000118984
8,97.7551,6.5718,12.2767,8.05114,0.00101,6e-05,0.00051,0.00015,6.84753,10.836,8.22207,0.000118978,0.000118978,0.000118978
9,108.675,6.38988,12.2578,7.96671,6e-05,0.0005,4e-05,1e-05,6.73543,10.7374,8.13101,0.000118971,0.000118971,0.000118971
