epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.7227,6.96943,13.2241,8.42455,0,0,0,0,6.91356,10.8606,8.3112,2.30563e-05,2.30563e-05,2.30563e-05
2,49.481,6.90874,12.9418,8.40633,0,0,0,0,6.89884,10.8762,8.32141,4.68561e-05,4.68561e-05,4.68561e-05
3,65.3379,7.10909,12.8876,8.37922,0,0,0,0,6.86428,10.8791,8.33376,7.06552e-05,7.06552e-05,7.06552e-05
4,80.4717,7.07119,12.7412,8.35708,0,0,0,0,6.85486,10.8863,8.38269,9.4453e-05,9.4453e-05,9.4453e-05
