epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.4159,6.8165,12.9941,8.41143,0,0,0,0,6.96533,10.851,8.3388,2.27182e-05,2.27182e-05,2.27182e-05
2,62.9289,6.86528,12.7758,8.39496,0,0,0,0,6.95886,10.8424,8.33832,4.6518e-05,4.6518e-05,4.6518e-05
3,75.3675,6.89486,12.8135,8.35159,0,0,0,0,6.95844,10.8114,8.34638,7.03171e-05,7.03171e-05,7.03171e-05
4,87.8765,7.01645,12.5829,8.28512,0,0,0,0,6.94589,10.8171,8.3471,9.41149e-05,9.41149e-05,9.41149e-05
5,100.585,6.89372,12.7544,8.20975,0,0,0,0,6.91023,11.1911,8.3553,0.000117911,0.000117911,0.000117911
6,113.275,7.04994,12.5598,8.14986,0,0,0,0,6.877,15.4626,8.32395,0.000118989,0.000118989,0.000118989
7,126.176,6.63411,12.478,8.0742,0,0,0,0,6.8947,18.3994,8.26936,0.000118984,0.000118984,0.000118984
8,138.88,6.46599,12.188,8.01448,0,0,0,0,6.83027,11.3174,8.26715,0.000118978,0.000118978,0.000118978
9,151.758,6.36055,12.1159,8.00199,0,6e-05,0,0,6.73058,10.6694,8.18816,0.000118971,0.000118971,0.000118971
10,164.886,6.32885,12.0361,7.89272,1e-05,0.00033,0,0,6.73431,10.809,8.15627,0.000118963,0.000118963,0.000118963
11,177.9,6.42653,11.9214,7.83881,1e-05,0.00044,1e-05,0,6.75396,10.6044,8.12382,0.000118955,0.000118955,0.000118955
12,190.72,6.27649,11.9804,7.8069,2e-05,0.00072,2e-05,1e-05,6.73281,10.4792,8.08354,0.000118945,0.000118945,0.000118945
13,203.756,6.35884,11.9685,7.73722,1e-05,0.00083,1e-05,0,6.72504,10.484,8.05351,0.000118935,0.000118935,0.000118935
14,216.536,6.2701,11.7388,7.64856,1e-05,0.00089,1e-05,0,6.73486,10.4783,7.98426,0.000118923,0.000118923,0.000118923
15,229.288,5.94224,11.7119,7.63529,2e-05,0.00094,1e-05,0,6.73774,10.4795,7.97629,0.000118911,0.000118911,0.000118911
