epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.105,6.76271,13.2793,8.4082,0,0,0,0,6.96724,10.8607,8.3302,2.27182e-05,2.27182e-05,2.27182e-05
2,33.0716,6.85578,12.7704,8.36705,0,0,0,0,6.95167,10.8636,8.30731,4.6518e-05,4.6518e-05,4.6518e-05
3,44.3456,6.86331,12.7852,8.31334,0,0,0,0,6.944,10.8388,8.31947,7.03171e-05,7.03171e-05,7.03171e-05
4,55.1903,6.94645,12.5682,8.29651,0,0,0,0,6.96056,10.8415,8.32761,9.41149e-05,9.41149e-05,9.41149e-05
5,65.868,6.79156,12.7499,8.195,0,0,0,0,6.94613,11.2238,8.3122,0.000117911,0.000117911,0.000117911
6,76.4925,6.9513,12.5587,8.15203,0,0,0,0,6.86832,12.3698,8.30074,0.000118989,0.000118989,0.000118989
7,87.2109,6.60406,12.5589,8.11922,0,0,0,0,6.85252,11.8643,8.22904,0.000118984,0.000118984,0.000118984
8,98.0094,6.5718,12.2767,8.05114,0.00101,6e-05,0.00051,0.00015,6.84753,10.836,8.22207,0.000118978,0.000118978,0.000118978
9,109.206,6.38988,12.2578,7.96671,6e-05,0.0005,4e-05,1e-05,6.73543,10.7374,8.13101,0.000118971,0.000118971,0.000118971
10,120.092,6.41908,12.2764,7.90357,6e-05,0.00061,3e-05,1e-05,6.73869,10.7687,8.17127,0.000118963,0.000118963,0.000118963
11,131.163,6.4283,12.1557,7.85617,5e-05,0.00067,3e-05,1e-05,6.72443,10.7267,8.08489,0.000118955,0.000118955,0.000118955
12,141.993,6.33169,12.2618,7.82694,3e-05,0.00072,2e-05,1e-05,6.71077,10.6624,8.06342,0.000118945,0.000118945,0.000118945
13,153.058,6.32457,12.2116,7.72452,4e-05,0.00078,3e-05,1e-05,6.69855,10.5792,8.05597,0.000118935,0.000118935,0.000118935
14,164.401,6.29942,12.1015,7.64846,5e-05,0.00067,3e-05,1e-05,6.69019,10.4432,7.98897,0.000118923,0.000118923,0.000118923
15,175.215,5.93529,12.0173,7.64878,3e-05,0.00067,2e-05,1e-05,6.70226,10.4548,7.90389,0.000118911,0.000118911,0.000118911
16,185.825,6.12087,11.9495,7.58716,2e-05,0.00055,1e-05,0,6.67112,10.5219,7.93476,0.000118898,0.000118898,0.000118898
17,196.521,6.09805,12.0405,7.59499,1e-05,0.00017,0,0,6.73055,10.5226,8.02292,0.000118884,0.000118884,0.000118884
18,207.537,6.02104,11.9245,7.52101,2e-05,0.00028,1e-05,0,6.71882,10.5217,8.01606,0.000118869,0.000118869,0.000118869
