epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6186,6.76271,13.2793,8.4082,0,0,0,0,6.96822,10.8611,8.33295,2.27182e-05,2.27182e-05,2.27182e-05
2,42.0057,6.85578,12.7704,8.36705,0,0,0,0,6.95177,10.864,8.30771,4.6518e-05,4.6518e-05,4.6518e-05
3,52.9681,6.86331,12.7852,8.31334,0,0,0,0,6.94418,10.8379,8.31603,7.03171e-05,7.03171e-05,7.03171e-05
4,63.9991,6.94645,12.5682,8.29651,0,0,0,0,6.96091,10.8421,8.32917,9.41149e-05,9.41149e-05,9.41149e-05
5,74.7724,6.79156,12.7499,8.195,0,0,0,0,6.9474,11.222,8.3148,0.000117911,0.000117911,0.000117911
6,85.6578,6.9513,12.5587,8.15203,0,0,0,0,6.86747,12.3681,8.30274,0.000118989,0.000118989,0.000118989
7,96.4623,6.60406,12.5589,8.11922,0,0,0,0,6.85497,11.8606,8.22812,0.000118984,0.000118984,0.000118984
8,107.396,6.5718,12.2767,8.05114,0.00101,6e-05,0.00051,0.00015,6.84857,10.8365,8.22122,0.000118978,0.000118978,0.000118978
9,118.397,6.38988,12.2578,7.96671,6e-05,0.0005,4e-05,1e-05,6.73563,10.7365,8.13287,0.000118971,0.000118971,0.000118971
10,129.149,6.41908,12.2764,7.90357,6e-05,0.00061,3e-05,1e-05,6.73761,10.77,8.17091,0.000118963,0.000118963,0.000118963
11,140.032,6.4283,12.1557,7.85617,5e-05,0.00067,3e-05,1e-05,6.7195,10.7301,8.08798,0.000118955,0.000118955,0.000118955
12,150.74,6.33169,12.2618,7.82694,4e-05,0.00078,2e-05,1e-05,6.70999,10.6632,8.06461,0.000118945,0.000118945,0.000118945
13,161.551,6.32457,12.2116,7.72452,4e-05,0.00078,3e-05,1e-05,6.69487,10.5833,8.05643,0.000118935,0.000118935,0.000118935
14,172.295,6.29942,12.1015,7.64846,5e-05,0.00061,3e-05,1e-05,6.69089,10.4433,7.98782,0.000118923,0.000118923,0.000118923
15,183.284,5.93529,12.0173,7.64878,3e-05,0.00067,2e-05,1e-05,6.70251,10.4546,7.90124,0.000118911,0.000118911,0.000118911
16,194.266,6.12087,11.9495,7.58716,2e-05,0.00055,1e-05,0,6.67077,10.5213,7.93216,0.000118898,0.000118898,0.000118898
17,205.186,6.09805,12.0405,7.59499,1e-05,0.00017,0,0,6.72968,10.5219,8.02308,0.000118884,0.000118884,0.000118884
18,216.055,6.02104,11.9245,7.52101,2e-05,0.00028,1e-05,0,6.71841,10.5222,8.01765,0.000118869,0.000118869,0.000118869
19,227.032,6.01689,11.6617,7.49474,3e-05,0.00083,3e-05,1e-05,6.64803,10.4337,7.91281,0.000118853,0.000118853,0.000118853
20,238.061,6.30281,11.7183,7.431,0.00179,0.00253,0.00137,0.00055,6.65847,10.3495,7.82195,0.000118836,0.000118836,0.000118836
21,248.886,5.95192,11.7242,7.3824,0.00422,0.0126,0.00618,0.00197,6.68575,10.3358,7.80166,0.000118818,0.000118818,0.000118818
22,259.871,5.84836,11.7209,7.43576,0.00289,0.00415,0.00394,0.00112,6.63249,10.3687,7.7862,0.0001188,0.0001188,0.0001188
23,270.874,6.03383,11.6968,7.34074,1e-05,0.00055,1e-05,0,6.61495,10.488,7.89943,0.00011878,0.00011878,0.00011878
24,281.808,5.79886,11.7822,7.26612,2e-05,0.0005,1e-05,0,6.63253,10.4961,7.8983,0.00011876,0.00011876,0.00011876
25,292.764,5.67863,11.6237,7.30377,4e-05,0.00055,2e-05,1e-05,6.58813,10.4073,7.79165,0.000118739,0.000118739,0.000118739
26,303.585,5.70484,11.6678,7.28758,0.00194,0.01209,0.00571,0.00233,6.61481,10.3319,7.7272,0.000118716,0.000118716,0.000118716
27,314.467,5.66337,11.4348,7.20805,0.0009,0.01109,0.0034,0.00162,6.6225,10.3381,7.71669,0.000118693,0.000118693,0.000118693
28,324.649,5.84922,11.335,7.13062,0.00507,0.00851,0.00553,0.00211,6.67389,10.2994,7.75164,0.000118669,0.000118669,0.000118669
29,334.805,5.71974,11.5713,7.20561,0.0026,0.00718,0.00225,0.00058,6.71739,10.3374,7.76008,0.000118644,0.000118644,0.000118644
30,345.338,5.84275,11.3927,7.18387,0.00024,0.00384,0.00024,0.00013,6.68067,10.2773,7.77422,0.000118618,0.000118618,0.000118618
31,356.087,5.69263,11.4373,7.16445,0.00095,0.00567,0.00325,0.00144,6.50824,10.3108,7.64689,0.000118592,0.000118592,0.000118592
32,366.926,5.77272,11.4445,7.07167,0.00199,0.00529,0.00364,0.0017,6.5135,10.3205,7.68089,0.000118564,0.000118564,0.000118564
