epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0956,6.97444,13.2391,8.36706,0,0,0,0,6.91231,10.8429,8.3616,2.30563e-05,2.30563e-05,2.30563e-05
2,35.4485,6.92455,12.9538,8.3171,0,0,0,0,6.86946,10.8567,8.3538,4.68561e-05,4.68561e-05,4.68561e-05
3,50.1619,7.07318,12.8627,8.30688,0,0,0,0,6.90488,10.8334,8.31013,7.06552e-05,7.06552e-05,7.06552e-05
4,64.6922,7.04161,12.7345,8.23079,0,0,0,0,6.89257,10.7647,8.26666,9.4453e-05,9.4453e-05,9.4453e-05
5,79.1218,6.89679,12.6845,8.15006,0,0,0,0,6.83221,10.7733,8.16947,0.000118249,0.000118249,0.000118249
6,93.956,6.54352,12.6772,8.10278,0,0,0,0,6.83633,11.023,8.19697,0.000118989,0.000118989,0.000118989
7,108.545,6.71603,12.5667,8.06356,0.00074,0.00282,0.00122,0.00036,6.83171,11.0619,8.21347,0.000118984,0.000118984,0.000118984
